Siruta,Localitate,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64
22237,DEALU MORII,0.239,2.625,62.291,19.928,3.461,1.074,1.193,8.473
22380,DOFTEANA,0.103,2.062,53.162,10.722,6.942,1.409,1.271,22.646
22460,FARAOANI,1.39,2.039,24.652,24.745,29.657,2.502,1.483,11.77
22488,FILIPENI,0.101,9.183,53.078,29.768,1.615,1.917,0.706,2.926
22576,FILIPESTI,0.1,2.508,30.792,34.303,9.228,3.511,2.106,15.647
22665,GAICEANA,11.144,0.297,31.055,38.336,2.972,1.783,1.783,11.59
22718,GHIMES-FAGET,47.652,1.798,18.482,5.794,5.894,1.998,1.898,16.084
22781,GARLENI,1.037,3.299,19.416,21.772,30.349,3.11,1.32,17.342
22834,GLAVANESTI,0.316,3.956,32.595,40.823,4.905,1.582,1.582,13.291
22898,HELEGIU,0.851,12.098,33.743,21.834,5.955,5.577,1.607,17.297
22941,HORGESTI,0.22,1.87,66.887,7.481,5.941,1.98,2.2,12.871
23047,HURUIESTI,0.303,3.333,70.455,12.879,2.273,1.515,0.606,7.727
23127,IZVORU BERHECIULUI,0.258,31.525,28.165,23.514,5.426,2.584,1.809,5.943
23207,LIPOVA,0.589,3.416,70.671,9.187,2.002,1.06,0.824,11.072
23289,LIVEZI,0.607,2.932,34.681,28.413,12.538,3.842,1.517,14.56
23350,LUIZI-CALUGARA,1.242,3.002,13.768,48.137,22.257,1.346,1.035,7.66
23387,MAGIRESTI,0.193,3.575,27.826,35.942,7.536,3.382,2.029,17.778
23449,MANASTIREA CASIN,0.468,2.81,35.48,32.553,5.621,2.459,1.171,18.501
23494,MOTOSENI,0.246,3.941,71.059,12.315,3.202,1.355,0.985,6.527
23644,NEGRI,0.598,7.371,58.566,19.124,4.582,1.195,0.996,6.773
23715,NICOLAE BALCESCU,2.999,7.555,17.589,30.334,25.663,2.364,1.499,10.092
23797,OITUZ,0.888,3.553,30.866,33.605,8.438,3.775,2.147,14.508
23868,ONCESTI,1.302,9.111,63.991,8.243,4.989,2.603,1.085,8.026
23948,ORBENI,0.503,3.396,57.736,15.975,1.887,2.893,2.516,13.962
23975,PALANCA,1,3,59.286,10,5,1.286,2,17
