Siruta,Localitate,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64
47854,NAENI,0,44.649,29.766,10.702,2.843,6.02,2.843,3.177
47916,ORAS NEHOIU,0.214,8.246,45.437,25.76,8.341,5.299,1.069,5.632
48021,ODAILE,0,5.291,60.317,15.873,5.82,7.937,1.058,3.704
48138,PADINA,0.258,17.161,42.065,19.484,5.935,3.226,1.677,10.194
48165,PARDOSI,0,1.786,24.107,67.857,0.446,2.679,0.893,2.232
48227,PANATAU,0,2.862,64.815,13.3,5.219,3.872,2.02,7.912
48325,ORAS PATARLAGELE,0.152,7.801,52.026,15.147,7.953,6.434,1.165,9.321
48487,PIETROASELE,0.123,10.961,47.66,14.286,8.251,9.729,0.616,8.374
48557,PARSCOV,0,16.762,41.188,13.889,9.77,6.322,0.958,11.111
48682,PODGORIA,0.388,3.747,59.302,10.853,3.618,11.24,1.292,9.561
48744,ORAS POGOANELE,0.15,11.117,45.364,13.659,4.686,17.747,0.598,6.68
48771,POSTA CALNAU,0,19.359,53.178,7.697,5.598,3.44,1.05,9.679
48842,PUIESTI,0.13,4.286,40.649,17.403,4.416,24.026,0.909,8.182
48922,RACOVITENI,0.873,26.638,40.83,8.515,3.057,13.319,1.092,5.677
48968,RAMNICELU,0.472,15.943,48.679,12.925,2.358,10.094,1.226,8.302
49019,ROBEASCA,0.707,6.36,75.618,4.24,2.12,5.3,0.707,4.947
49046,RUSETU,0.273,6.837,59.982,15.77,4.284,4.923,1.185,6.746
49073,SAGEATA,0,3.405,64.027,12.879,5.477,3.479,0.962,9.771
49153,SAHATENI,0.096,27.342,47.132,10.707,5.449,2.772,1.052,5.449
49206,SAPOCA,0.099,7.547,54.618,15.988,6.653,4.469,0.596,10.03
49233,SARULESTI,0,8.354,61.519,15.949,5.57,1.013,0.759,6.835
49313,SCORTOASA,0.668,42.647,34.091,6.684,5.348,4.412,0.668,5.481
49439,SCUTELNICI,0.116,12.514,26.304,52.491,1.97,2.202,0.811,3.592
49484,SIRIU,0,8.173,55.464,14.968,5.969,6.152,1.653,7.622
49545,SMEENI,0,9.559,55.639,10.754,6.647,4.854,1.195,11.352
49625,STALPU,0,6.075,61.565,8.879,4.907,12.033,0.818,5.724
49643,TISAU,0.093,8.598,32.897,30.748,8.411,7.196,0.654,11.402
49769,TOPLICENI,0.368,7.664,44.141,17.833,3.242,15.623,1.253,9.875
49849,TINTESTI,0.082,5.388,64.653,11.755,5.224,3.184,1.061,8.653
49894,ULMENI,0.132,10.464,50.728,12.98,5.43,10.861,1.192,8.212
49956,VADU PASII,0.111,1.739,44.634,30.681,7.439,3.701,1.221,10.474
50022,VALEA RAMNICULUI,0.132,2.974,61.864,9.187,4.098,5.882,0.793,15.069
50068,VALEA SALCIEI,0,4.31,72.845,16.379,1.293,3.448,0,1.724
50102,VERNESTI,0.202,15.524,41.683,13.004,9.375,7.762,1.109,11.341
50228,VINTILA VODA,0.147,3.372,48.827,12.757,7.185,14.37,0.733,12.61
50326,VIPERESTI,0.146,6.569,53.285,11.533,4.234,11.387,2.336,10.511
50399,VALCELELE,0.28,5.874,66.573,4.196,1.259,15.245,0.839,5.734
50415,ZARNESTI,0.243,51.305,29.569,6.193,3.339,2.429,1.396,5.525
50479,ZIDURI,0.415,2.435,18.756,5.907,1.865,65.13,0.622,4.87
50549,UNGURIU,0,11.405,41.322,15.868,10.248,10.744,0.496,9.917
50564,FLORICA,0.242,13.559,64.407,10.896,2.421,2.906,0.969,4.6
50790,MUNICIPIUL RESITA,0.981,3.623,26.403,38.065,12.543,4.846,1.896,7.313
50889,ORAS ANINA,0.277,2.164,34.018,41.676,4.606,2.497,1.054,8.435
50923,ORAS BAILE HERCULANE,0.333,7.903,35.857,33.611,5.99,6.489,1.581,6.739
50969,ORAS BOCSA,0.78,21.106,27.935,26.862,6.829,3.122,0.65,10.114
50987,OCNA DE FIER,0.656,4.59,22.623,53.77,4.59,2.623,0,6.885
51010,MUNICIPIUL CARANSEBES,0.405,5.336,31.772,29.887,12.416,4.808,1.074,12.311
51056,ORAS MOLDOVA NOUA,0.289,2.557,46.186,22.474,4.742,4.371,0.784,6.68
51118,ORAS ORAVITA,0.982,5.706,34.331,29.654,7.25,8.559,1.029,9.916
51207,ORAS OTELU ROSU,1.165,4.337,32.651,27.43,10.683,3.775,0.803,11.486
51243,ARMENIS,0.2,1.503,28.156,59.018,1.303,3.808,0.301,5.511
51305,BANIA,1.05,6.933,42.647,30.672,3.571,4.832,1.471,6.933
51332,BAUTAR,0.451,3.269,22.886,55.468,4.622,3.157,1.127,6.088
51387,BERLISTE,1.515,3.535,22.222,56.566,2.778,7.323,0.253,2.778
51449,BERZASCA,0.358,2.151,51.792,22.401,2.33,5.556,1.434,8.065
51500,BERZOVIA,0.965,2.051,22.075,50.302,4.463,6.152,0.965,11.942
51546,BOLVASNITA,0,8.223,36.074,34.483,7.162,5.04,2.653,5.57
51573,BOZOVICI,0.25,3.995,61.049,20.849,4.12,1.998,0.499,5.993
51626,BREBU,0.576,8.829,40.883,20.921,3.647,14.971,0.576,6.526
51662,BREBU NOU,0,2.41,12.048,48.193,18.072,6.024,0,4.819
51699,BUCHIN,0.212,7.431,43.949,25.478,3.185,5.52,3.185,9.979
51751,BUCOSNITA,0.111,1.887,65.261,20.2,3.552,4.55,0,3.996
51804,CARASOVA,1.18,5.752,32.006,39.233,7.08,2.802,1.475,8.407
51840,CARBUNARI,2.778,5.247,52.16,14.815,2.16,1.852,2.16,2.16
51877,CONSTANTIN DAICOVICIU,0.385,6.804,36.714,30.424,8.729,4.878,1.155,8.986
51948,CICLOVA ROMANA,0.864,6.048,26.782,38.661,16.415,4.536,1.296,4.104
51984,CIUCHICI,0.272,8.152,46.467,20.924,6.25,5.707,1.359,1.902
52035,CIUDANOVITA,0.518,6.218,45.596,14.508,3.109,1.554,1.554,8.808
52062,COPACELE,0.246,11.057,42.998,24.079,6.143,3.44,0.737,8.845
52115,CORNEA,1.25,4.167,42.917,28.333,6.458,4.583,4.167,6.25
52160,CORNEREVA,0.249,3.731,61.07,20.274,2.488,5.1,0.498,5.846
52570,DALBOSET,0.874,29.196,20.28,23.601,9.266,10.315,1.399,4.021
52650,DOCLIN,0.45,9.91,40.09,21.622,11.036,4.955,0.676,9.234
52696,DOGNECEA,0.45,3.003,76.126,10.511,1.802,1.652,0.3,5.556
52721,DOMASNEA,0.298,15.774,26.488,38.988,3.869,1.786,0.595,10.417
52758,EZERIS,0,2.89,18.497,65.896,2.312,2.312,0.193,7.129
52785,FARLIUG,0.865,9.222,29.539,42.075,7.205,5.908,0.576,2.882
52856,FOROTIC,0.461,6.682,20.968,43.779,8.525,8.756,1.152,5.991
52909,GARNIC,0.471,13.647,30.118,25.176,6.824,14.118,0,2.824
52936,GLIMBOCA,0.181,8.318,25.316,47.016,5.063,2.532,1.627,8.499
52954,GORUIA,0,29.938,22.222,25.617,4.321,5.556,1.852,5.247
52990,GRADINARI,0.217,15.835,22.56,37.961,4.772,6.941,0.651,5.423
53023,IABLANITA,1.211,22.318,32.872,19.896,3.287,3.806,0.692,7.093
53069,LAPUSNICEL,0.212,6.794,60.297,15.074,0.849,2.335,0.425,2.972
53103,LAPUSNICU MARE,0.133,1.064,42.42,49.867,1.596,1.197,0.798,2.527
53130,LUNCAVITA,0.613,8.423,30.168,41.654,9.188,2.91,0.459,5.36
53167,LUPAC,0.772,19.884,17.568,31.66,7.722,10.811,0.386,8.301
53210,MARGA,0.287,5.747,48.851,19.253,6.609,9.195,4.885,3.448
53247,MAURENI,0.711,1.218,13.909,67.107,5.279,1.421,1.32,7.614
53274,MEHADIA,0.261,4.178,43.255,32.028,6.614,2.785,1.393,8.529
53327,MEHADICA,1.13,7.345,26.554,42.938,1.695,7.91,3.39,2.825
53345,NAIDAS,0.495,5.198,23.762,45.792,6.436,7.673,0.99,5.941
53372,OBREJA,0.571,3.333,38.286,40.286,3.143,3.333,0.667,9.81
53425,PALTINIS,0,2.219,37.574,28.107,6.361,13.166,0.74,7.544
53489,CORONINI,0.118,0.943,50.354,29.363,2.123,4.599,0.472,7.901
53513,POJEJENA,0.414,2.07,62.836,18.116,2.692,2.795,0.518,5.487
53577,PRIGOR,1.86,17.74,41.059,19.886,4.006,3.863,3.863,5.436
53639,RAMNA,0.532,5.142,13.121,55.851,2.837,7.447,0.887,5.674
53675,RACASDIA,0.421,18.105,22.947,42.737,4,4.421,2.105,4.421
53700,EFTIMIE MURGU,0.957,4.306,29.187,36.842,14.115,4.306,0.718,8.852
53728,RUSCA MONTANA,0,15.789,36.842,16.632,3.789,5.263,0.842,19.579
53755,SACU,0.49,2.451,41.667,23.775,6.373,3.922,0.98,18.873
53791,SASCA MONTANA,1.046,3.975,44.77,20.084,7.531,7.741,2.092,7.95
53853,SICHEVITA,0,4.021,28.686,50.536,4.155,3.217,0.67,5.496
54056,SLATINA-TIMIS,0.251,8.208,14.992,67.085,3.769,2.513,0.168,2.848
54109,SOCOL,0.545,8.909,54.364,14.545,3.818,2.909,1.636,8.364
54163,SOPOTU NOU,1.058,6.349,47.09,24.603,2.381,8.73,2.116,1.852
54270,TEREGOVA,0.124,3.296,71.082,17.662,1.617,1.741,1.182,2.363
54305,TICVANIU MARE,0.218,9.586,24.183,14.815,10.893,4.139,24.401,7.625
54350,TARNOVA,0.265,1.592,35.013,30.769,6.897,14.324,0.265,6.366
54387,TOPLET,0,8.577,36.611,22.594,11.715,5.439,1.255,12.552
54412,TURNU RUIENI,0.216,7.351,25.189,40,4.108,4,0.973,16.216
54485,VALIUG,0.794,2.778,28.968,50,4.762,5.556,0.397,2.778
54500,VARADIA,0.23,5.069,17.051,66.129,5.53,1.843,0.461,2.535
54537,VERMES,0.538,8.065,36.559,34.946,8.602,2.33,0.179,4.659
54573,VRANI,1.246,7.165,23.988,47.664,9.346,4.361,1.246,3.738
54617,ZAVOI,0.083,2.479,23.14,54.298,4.876,2.479,1.074,10.331
54699,ZORLENTU MARE,0,2.022,13.841,64.075,2.488,1.555,0.778,6.221
54975,MUNICIPIUL CLUJ-NAPOCA,11.411,3.468,10.988,33.13,31.955,2.391,0.927,4.304
55008,MUNICIPIUL DEJ,9.016,5.11,21.862,30.302,16.995,5.494,1.306,8.478
55062,CUZDRIOARA,3.667,8.333,25.667,32.667,15,7.333,1.333,5.333
55106,JICHISU DE JOS,2.778,4.722,23.889,46.111,8.056,4.722,0.833,7.222
55160,MICA,11.587,10.647,20.251,37.578,9.081,3.34,1.253,5.741
55259,MUNICIPIUL TURDA,6.632,5.718,19.339,30.87,20.313,3.655,1.279,10.688
55277,MIHAI VITEAZU,20.351,12.929,13.647,20.83,15.642,4.07,1.117,10.615
55311,SANDULESTI,2.301,3.363,13.628,50.265,13.451,3.363,1.416,10.973
55357,MUNICIPIUL CAMPIA TURZII,6.013,4.039,23.227,36.098,15.114,3.662,1.454,8.598
55384,MUNICIPIUL GHERLA,12.668,3.3,20.614,31.86,18.168,2.996,1.271,8.098
55446,ORAS HUEDIN,25.177,2.976,14.691,36.608,10.439,2.692,0.992,5.574
55473,AGHIRESU,44.499,3.103,9.591,24.33,8.463,2.962,0.494,5.783
55598,AITON,6.709,4.792,11.182,45.687,15.974,8.626,1.597,3.195
55623,ALUNIS,2.299,13.027,16.858,41.762,7.663,9.962,0.383,7.28
55687,APAHIDA,2.112,4.439,16.15,35.963,27.781,2.433,0.856,9.118
55776,ASCHILEU,3.509,4.386,19.006,44.737,7.018,12.865,0.877,6.433
55838,BACIU,27.973,2.317,9.045,25.684,24.791,3.434,0.558,5.221
55918,BAISOARA,0.871,5.923,20.732,32.927,15.157,6.098,1.394,14.111
56014,BELIS,0.559,5.773,37.244,32.775,9.683,5.959,1.304,4.097
56096,BOBALNA,4.176,7.253,39.341,24.615,5.495,9.67,0.659,8.352
56210,BONTIDA,12.864,4.322,12.161,32.362,14.975,2.312,8.643,11.558
56265,BORSA,2.722,1.633,10.345,70.236,3.448,4.537,0,5.989
56327,BUZA,40,0.4,11.2,26.8,6,6,0,6.4
56354,CAIANU,16.72,9.554,11.783,50,3.025,3.822,0.159,3.503
56425,CALARASI,23.719,10.626,11.765,23.529,8.729,1.708,1.898,17.078
56461,CALATELE,12.883,4.755,20.552,35.736,7.209,5.675,0.92,10.123
56522,CAMARASU,3.043,5.435,43.043,29.13,4.783,3.261,1.522,9.13
56568,CAPUSU MARE,32.2,11.143,8.687,25.212,7.838,8.499,0.567,4.438
56666,CASEIU,1.624,6.193,22.843,38.376,9.848,6.294,1.726,10.66
56773,CATINA,10.019,29.48,12.717,33.719,2.697,6.936,1.156,2.89
56844,CEANU MARE,2.774,33.67,20.05,21.059,5.044,3.909,1.513,11.475
56988,CHINTENI,9.624,3.575,29.148,23.923,21.815,2.841,0.275,7.333
57083,CHIUIESTI,1.898,5.401,19.416,49.489,9.197,6.131,1.022,6.861
57163,CIUCEA,0.51,1.531,20.238,57.143,7.143,5.442,0.51,6.803
57225,CIURILA,1.269,3.526,12.271,45.698,17.913,2.68,0.705,14.81
57314,CATCAU,1.276,2.257,14.72,63.788,7.655,3.533,0.785,5.005
57350,COJOCNA,21.727,3.482,14.624,33.426,11.421,5.432,1.811,7.382
57449,CORNESTI,7.609,5.254,19.928,46.196,7.246,4.891,0.725,7.79
57546,DABACA,1.754,7.018,26.316,40.643,9.357,5.263,2.924,5.848
57582,FELEACU,20.69,4.348,7.946,29.16,28.186,3.073,0.9,5.022
57644,FIZESU GHERLII,20.367,4.404,16.33,31.009,10.642,4.771,1.651,9.541
57706,FLORESTI,8.502,3.56,7.318,31.451,37.92,2.141,0.551,7.056
57742,FRATA,1.733,4.579,47.153,23.886,4.827,5.569,1.485,10.025
57831,GEACA,12.661,4.721,11.159,45.064,6.009,11.373,0.644,7.725
57902,GILAU,10.343,6.18,14.807,43.176,11.974,2.876,0.944,8.884
57948,GARBAU,39.016,2.761,10.204,33.613,6.843,2.881,0.36,3.842
58008,IARA,4.182,6.571,24.134,31.422,8.483,10.514,1.195,12.784
58142,ICLOD,1.279,8.951,18.031,40.665,16.624,3.708,2.046,7.289
58204,IZVORU CRISULUI,81.445,0.985,2.956,7.553,3.448,1.478,0,1.642
58259,JUCU,8.875,4.358,30.269,27.417,18.78,2.853,1.664,4.913
58311,LUNA,4.497,7.407,20.106,35.45,11.772,4.365,1.19,14.286
58357,MAGURI-RACATAU,0.263,9.211,24.474,26.053,12.368,8.421,0.789,17.632
58393,MANASTIRENI,14.32,5.34,25.971,20.874,9.951,8.738,3.641,7.524
58464,MARGAU,0,2.23,22.491,51.115,7.993,10.595,1.859,3.16
58534,MARISEL,0.173,6.39,16.062,46.805,10.535,11.917,0.691,7.081
58552,MINTIU GHERLII,1.729,4.521,22.606,42.553,8.378,4.388,2.128,12.766
58623,MOCIU,10.098,6.872,18.093,41.374,8.275,5.47,0.421,9.116
58721,MOLDOVENESTI,54.155,2.547,8.981,15.55,8.445,3.351,0.268,6.166
58794,PALATCA,10.112,2.996,14.981,56.554,2.996,6.742,1.124,4.12
58856,PANTICEU,1.62,10.88,12.269,29.63,27.083,4.63,1.852,11.806
58918,PETRESTII DE JOS,0.549,3.297,18.132,46.886,11.905,4.396,1.832,12.088
58990,PLOSCOS,0,4.695,17.371,63.85,5.164,4.225,0,4.695
59041,POIENI,0.165,2.973,22.296,38.646,13.79,8.175,1.899,9.661
59130,RECEA-CRISTUR,0.384,2.177,12.292,76.569,2.689,2.177,0.512,2.817
59238,RISCA,0,6.921,36.038,36.277,8.353,3.341,0.716,7.876
59283,SACUIEU,0.319,6.39,27.796,35.463,12.141,2.875,0,13.738
59327,SAVADISLA,57.775,2.446,7.746,16.308,6.814,3.494,0.466,4.543
59416,SIC,92.514,0.96,0.96,1.152,2.879,0.384,0.192,0.768
59434,SANCRAIU,81.04,0.65,4.55,5.85,4.442,0.325,0.433,1.95
59498,SANMARTIN,6.072,1.55,8.656,75.194,3.359,1.292,0.258,2.972
59586,SANPAUL,0.984,5.902,14.918,47.377,11.803,12.787,1.148,4.59
59657,SUATU,63.699,2.283,9.132,14.384,2.968,2.968,0.685,2.055
59693,TRITENII DE JOS,10.534,11.081,19.562,22.435,11.902,9.85,0.684,13.406
59764,TURENI,16.438,8.562,13.356,34.589,14.555,2.911,0.856,7.363
59826,TAGA,2.901,5.803,15.474,50.677,8.704,7.544,0.58,5.029
59880,UNGURAS,60.459,4.453,10.256,15.25,2.024,4.588,0.27,2.699
59942,VAD,0.987,4.057,17.325,57.237,5.921,3.18,1.754,9.32
60026,VALEA IERII,1.408,3.873,44.014,30.986,8.451,3.873,0.704,4.93
60062,VIISOARA,24.673,3.364,23.458,24.953,10,1.682,0.935,9.907
60099,VULTURENI,11.973,5.765,15.299,39.024,7.761,8.426,1.774,9.091
60169,NEGRENI,0.872,2.471,21.512,40.552,11.483,6.25,1.017,15.552
60419,MUNICIPIUL CONSTANTA,0.29,4.597,22.959,27.76,27.61,3.687,1.157,9.526
60455,ORAS EFORIE,0.158,6.465,16.241,44.655,15.799,3.185,1.325,9.398
60482,MUNICIPIUL MANGALIA,0.386,5.061,27.135,28.61,13.216,3.981,1.436,15.616
60507,ORAS NAVODARI,0.174,7.75,25.152,20.609,21.141,3.717,1.315,16.837
60534,ORAS TECHIRGHIOL,0.444,6.75,19.139,36.856,16.119,2.309,0.444,14.52
60570,AGIGEA,0.239,4.739,23.764,21.855,25.298,3,1.602,14.797
60598,23-Aug,0.301,2.864,19.744,38.508,9.42,1.959,0.678,24.341
60632,LIMANU,0.435,3.315,52.174,13.696,8.913,2.391,0.87,15.978
60687,ORAS OVIDIU,0.385,3.68,19.747,32.381,16.836,2.966,1.428,20.654
60721,TUZLA,0.356,5.163,24.095,25.401,15.312,5.341,1.128,19.347
60776,ORAS CERNAVODA,0.26,3.438,27.005,26.953,13.516,4.375,1.224,20.365
60801,ORAS HARSOVA,0.367,3.669,31.184,31.08,10.797,3.669,0.996,16.719
60847,MUNICIPIUL MEDGIDIA,0.382,3.495,33.596,25.032,11.249,4.918,1.238,17.926
60883,ADAMCLISI,0.394,4.336,16.032,43.758,5.256,12.746,1.84,14.849
60945,ALBESTI,1.029,1.235,17.593,38.786,3.807,3.601,1.543,31.379
61005,ALIMAN,0.713,1.783,14.26,50.802,2.852,4.991,2.317,22.103
61121,CASTELU,0.287,25.359,29.474,12.727,4.211,1.722,1.531,23.636
61167,CERCHEZU,0.806,1.008,41.734,37.702,3.427,2.621,1.613,10.081
61210,CHIRNOGENI,0.733,3.48,39.011,20.696,5.128,3.663,1.832,22.344
61256,CIOBANU,0.126,1.009,65.322,12.61,3.153,3.279,1.892,11.98
61283,CIOCARLIA,0.225,4.27,17.64,49.888,4.719,2.135,1.124,18.427
61318,COBADIN,0.137,6.621,32.014,18.567,7.304,2.321,1.706,29.01
61372,COGEALAC,0.112,21.277,29.451,14.446,4.143,3.135,2.24,23.628
61452,COMANA,0.813,3.252,20.596,34.959,4.607,4.878,1.897,23.035
61513,CORBU,0.223,17.878,18.62,21.513,8.16,2.003,1.706,27.448
61559,CRUCEA,0.689,1.653,15.978,54.27,3.306,4.27,0.551,18.32
61620,CUMPANA,0.324,3.313,30.212,17.161,21.32,2.765,1.245,21.519
61675,DELENI,0.142,5.674,43.688,19.716,3.546,3.262,2.695,20.709
61737,DOBROMIR,0.838,3.234,58.323,25.509,1.796,0.12,2.395,6.707
61808,GARLICIU,0,8.394,22.993,32.847,4.015,2.555,1.46,26.277
61826,GHINDARESTI,0.378,1.323,19.471,36.106,25.331,3.592,1.512,10.964
61871,INDEPENDENTA,2.069,9.655,36.552,29.828,5,1.897,2.241,12.069
61951,ION CORVIN,1.144,2.124,20.098,51.961,4.902,3.268,1.144,14.379
62020,ISTRIA,0.34,0.679,45.671,17.148,4.924,2.716,2.547,22.92
62057,LIPNITA,0.189,4.151,26.604,44.717,7.736,3.774,1.509,10.189
62137,MERENI,0.172,2.921,40.378,21.478,7.904,2.062,2.405,20.447
62191,MIHAIL KOGALNICEANU,0.038,3.708,15.967,50.246,8.551,1.703,1.022,17.518
62253,MIHAI VITEAZU,0.155,9.161,16.925,45.342,2.795,2.64,1.863,18.944
62280,MIRCEA VODA,0,1.316,43.062,17.943,4.306,3.349,1.435,27.512
62360,ORAS MURFATLAR,0.306,4.702,25.344,35.589,8.601,2.791,1.797,18.884
62397,ORAS NEGRU VODA,0.375,3.28,27.085,25.492,5.811,4.405,0.843,31.022
62440,NICOLAE BALCESCU,0.086,1.888,38.026,18.627,6.438,0.773,1.288,32.361
62486,OLTINA,0.326,2.936,55.791,18.108,5.546,1.958,2.61,11.746
62538,OSTROV,0.11,4.053,48.193,18.291,6.681,3.724,2.738,14.896
62609,PANTELIMON,0,2.527,15.162,51.805,2.527,1.083,0.903,25.451
62672,PECINEAGA,0.157,1.57,31.711,19.309,5.965,2.669,1.256,36.107
62707,PESTERA,0.517,3.793,25.172,14.483,2.759,4.138,1.897,46.207
62761,POARTA ALBA,0.354,2.691,31.799,28.895,6.02,1.771,8.144,19.618
62798,RASOVA,0,2.217,21.508,33.481,5.543,3.548,3.326,27.938
62823,SARAIU,0.491,2.703,47.174,11.302,4.177,1.72,3.194,26.29
62878,SACELE,0,4.942,19.769,44.811,2.965,0.988,0,24.547
62903,SEIMENI,0,3.03,43.526,18.457,6.887,3.306,1.102,23.14
62949,SILISTEA,0,2.934,31.785,35.697,1.222,0.489,1.467,24.694
62985,TARGUSOR,0.836,1.95,40.669,17.27,8.635,4.735,1.114,23.12
63045,TOPALU,0,1.952,60.087,20.607,2.603,2.169,1.302,11.28
63072,TOPRAISAR,0.485,4.604,28.918,16.64,12.843,5.331,2.504,26.898
63125,VALU LUI TRAIAN,0.163,3.265,18.751,38.176,15.772,3.122,1.224,17.099
63152,LUMINA,0.34,4.387,22.731,22.542,17.965,5.635,0.983,24.054
63161,DUMBRAVENI,0,2.488,53.234,14.428,3.483,7.463,0.995,17.91
63170,VULTURU,0,4.046,60.694,9.249,5.202,1.156,2.89,14.451
63171,BANEASA,0.274,3.385,37.969,27.63,4.758,3.477,1.555,13.998
63189,TORTOMAN,0,4.722,28.333,25.556,7.5,0.556,2.778,30.278
63198,AMZACEA,0.847,3.814,32.203,18.432,7.415,5.932,2.119,26.271
63278,HORIA,0,12.851,24.498,39.759,4.016,4.418,1.606,11.245
63286,COSTINESTI,0.117,20.141,19.438,24.59,15.34,3.044,1.405,14.754
63294,BARAGANU,0,2.551,33.418,16.071,6.633,1.786,2.041,36.48
63300,CUZA VODA,0,6.718,32.054,40.691,1.536,0.576,2.687,15.547
63318,SALIGNY,0.343,4.974,46.998,9.434,8.062,1.029,0.686,27.444
63326,GRADINA,0.699,3.03,61.305,17.249,3.73,0.932,1.399,10.723
63334,FANTANELE,0,0.312,29.595,44.237,5.296,8.1,1.246,11.215
63394,MUNICIPIUL SFANTU GHEORGHE,72.417,1.036,7.717,5.98,7.117,2.355,0.537,2.286
63447,ORAS BARAOLT,90.329,0.143,3.811,1.81,1.477,1.334,0.429,0.619
63526,ORAS COVASNA,64.376,2.375,12.127,10.291,4.462,1.619,0.972,3.203
63553,COMANDAU,89.123,1.053,1.754,2.807,0.702,3.158,0.702,0.351
63580,ORAS INTORSURA BUZAULUI,0.875,14.83,19.825,19.258,25.026,5.716,3.09,10.402
63633,BARCANI,0.691,8.84,25.138,18.923,14.917,4.282,3.867,22.652
63688,SITA BUZAULUI,0.798,7.777,24.327,18.445,15.155,5.484,8.375,18.843
63740,MUNICIPIUL TARGU SECUIESC,89.845,0.51,3.193,2.062,2.151,0.953,0.355,0.687
63777,AITA MARE,82.997,0.865,4.899,5.764,0.865,3.458,0.865,0
63802,BATANI,88.06,0.459,5.281,1.378,0.918,1.378,0.459,1.722
63866,BELIN,56.764,1.061,14.854,5.305,0.265,9.019,1.592,9.814
63893,BODOC,92.984,0.733,2.513,0.524,0.838,1.047,0.733,0.628
63937,BOROSNEU MARE,45.312,2.257,6.771,2.431,1.736,37.326,1.215,1.91
64005,BRATES,93.145,0.403,3.024,1.613,0.605,0.403,0.605,0.202
64041,BRADUT,81.135,0.426,5.674,0.709,0.567,5.035,2.34,3.617
64096,BRETCU,74.854,0.698,10.012,4.191,1.513,3.958,0.931,3.492
64130,CATALINA,90.501,0.77,3.594,1.412,1.027,1.669,0.385,0.642
64194,CERNAT,94.165,0.269,2.065,0.987,0.628,0.718,0.539,0.449
64238,CHICHIS,65.825,1.359,9.126,8.932,6.019,2.33,0.777,4.66
64265,DOBARLAU,1.837,3.673,44.49,18.571,8.98,3.469,1.224,16.531
64318,GHELINTA,92.095,0.541,2.23,0.541,0.608,1.892,0.541,0.878
64345,GHIDFALAU,91.993,0.817,2.124,1.307,1.961,0.817,0.49,0.327
64390,HAGHIG,19.817,3.963,42.073,10.671,6.402,4.878,1.524,10.061
64425,ILIENI,83.455,0.909,3.636,4,4,1.455,0.909,1.455
64461,LEMNIA,95.205,0.685,1.37,0.685,0.685,0.514,0.342,0.342
64504,MALNAS,85.953,1.003,5.351,0.669,1.338,2.007,1.672,2.007
64568,MOACSA,89.125,0.796,3.183,1.326,1.592,1.592,0.531,1.061
64602,OJDULA,82.903,0.861,4.797,1.845,1.476,5.166,0.861,0.984
64639,OZUN,77.778,0.917,5.81,7.238,3.262,1.427,0.714,2.446
64719,POIAN,95.219,0.398,0.996,0.996,0.598,1.594,0.199,0
64773,RECI,89.226,0.607,3.035,1.821,2.124,1.366,0.759,1.062
64826,SANZIENI,94.544,0.399,2.794,0.466,0.599,0.665,0.2,0.067
64871,TURIA,94.61,0.674,1.444,0.77,0.577,0.674,0.192,0.674
64906,VALEA CRISULUI,90.954,0.329,2.796,1.316,2.796,1.151,0.329,0.329
64942,VALCELE,11.892,6.825,49.535,9.1,3.93,10.755,1.758,5.584
64997,VARGHIS,93.846,0.192,2.115,1.154,1.154,0.962,0.385,0.192
65011,ZAGON,63.553,2.91,7.121,8.04,1.838,4.441,3.369,8.499
65048,ZABALA,76.809,1.596,8.404,3.404,2.66,1.596,1.17,3.723
65099,VALEA MARE,0.866,16.45,13.853,12.987,38.528,4.329,3.463,9.524
65105,MERENI,93.627,0.98,1.225,1.716,0.245,1.716,0,0.245
65113,ARCUS,93.103,0.383,1.533,1.341,1.533,1.149,0,0.958
65121,BIXAD,90.73,1.404,1.966,1.685,0.281,2.809,0.281,0
65139,MICFALAU,92.927,0.244,3.415,0.732,1.22,0.976,0.244,0.244
65147,DALNIC,94.248,0.442,2.212,0.442,0.885,0.885,0,0
65154,ESTELNIC,94.737,0.564,2.068,0.564,0.752,0.564,0,0.376
65342,MUNICIPIUL TARGOVISTE,0.229,5.143,38.208,24.542,18.309,5.138,0.762,6.284
65379,ANINOASA,0,4.218,45.382,27.069,10.464,4.378,0.694,7.101
65413,DOICESTI,0.209,4.275,49.948,17.101,10.74,6.986,0.73,9.072
65431,RAZVAD,0.346,7.195,43.286,19.777,13.12,4.963,0.577,9.003
65477,SOTANGA,0.222,2.332,56.857,14.714,11.549,4.72,1.222,7.329
65501,ULMI,0.342,2.806,60.575,14.579,8.145,5.065,0.89,7.05
65609,ORAS FIENI,0.237,3.082,44.517,22.881,14.641,3.497,0.533,9.544
65645,MOTAIENI,0,2.683,22.54,45.438,15.027,4.293,0.358,8.766
65681,ORAS GAESTI,0.128,7.145,39.219,31.028,9.186,6.813,0.663,5.154
65707,GURA FOII,0.23,4.147,55.876,14.171,3.111,15.899,0.576,5.76
65752,PETRESTI,0.304,2.785,29.418,46.127,3.544,5.165,0.658,10.481
65841,MUNICIPIUL MORENI,0.26,4.948,36.675,19.987,12.934,9.006,0.738,7.921
65869,IEDERA,0.482,4.819,52.048,18.795,8.072,6.386,0.964,7.59
