Siruta,Localitate_X,Judet,Localitate
94535,Suditi,il,SUDITI
94562,Stefan Cel Mare,cl,STEFAN CEL MARE
94580,Stefan Voda,cl,STEFAN VODA
94606,Ulmu,cl,ULMU
94651,Unirea,cl,UNIREA
94688,Valea Ciorii,il,VALEA CIORII
94731,Valcelele,cl,VALCELELE
94768,Vlad Tepes,cl,VLAD TEPES
94795,Vladeni,il,VLADENI
95060,Municipiul Iasi,is,MUNICIPIUL IASI
95088,Barnova,is,BARNOVA
95159,Holboca,is,HOLBOCA
95239,Rediu,is,REDIU
95293,Tomesti,is,TOMESTI
95355,Oras Harlau,is,ORAS HARLAU
95391,Municipiul Pascani,is,MUNICIPIUL PASCANI
95471,Oras Targu Frumos,is,ORAS TARGU FRUMOS
95499,Ion Neculce,is,ION NECULCE
95612,Alexandru I. Cuza,is,ALEXANDRU I. CUZA
95667,Andrieseni,is,ANDRIESENI
95747,Aroneanu,is,ARONEANU
95792,Baltati,is,BALTATI
95872,Belcesti,is,BELCESTI
95943,Bivolari,is,BIVOLARI
96003,Ungheni,is,UNGHENI
96058,Braesti,is,BRAESTI
96110,Butea,is,BUTEA
96147,Ceplenita,is,CEPLENITA
96192,Ciortesti,is,CIORTESTI
96254,Ciurea,is,CIUREA
96334,Coarnele Caprei,is,COARNELE CAPREI
96370,Comarna,is,COMARNA
96423,Costuleni,is,COSTULENI
96478,Cotnari,is,COTNARI
96593,Cozmesti,is,COZMESTI
96637,Cristesti,is,CRISTESTI
96664,Cucuteni,is,CUCUTENI
96717,Dagata,is,DAGATA
96815,Deleni,is,DELENI
96888,Dobrovat,is,DOBROVAT
96904,Dolhesti,is,DOLHESTI
96940,Dumesti,is,DUMESTI
97009,Erbiceni,is,ERBICENI
97063,Focuri,is,FOCURI
97090,Golaiesti,is,GOLAIESTI
97189,Gorban,is,GORBAN
97241,Grajduri,is,GRAJDURI
97321,Gropnita,is,GROPNITA
97394,Grozesti,is,GROZESTI
97438,Halaucesti,is,HALAUCESTI
97465,Helesteni,is,HELESTENI
97517,Horlesti,is,HORLESTI
97553,Ipatele,is,IPATELE
97606,Lespezi,is,LESPEZI
97679,Letcani,is,LETCANI
97722,Lungani,is,LUNGANI
97777,Madarjac,is,MADARJAC
97811,Mircesti,is,MIRCESTI
97875,Mironeasa,is,MIRONEASA
97919,Miroslava,is,MIROSLAVA
98051,Miroslovesti,is,MIROSLOVESTI
98113,Mogosesti,is,MOGOSESTI
98168,Mogosesti-Siret,is,MOGOSESTI-SIRET
98202,Mosna,is,MOSNA
98220,Motca,is,MOTCA
98257,Movileni,is,MOVILENI
98300,Oteleni,is,OTELENI
98337,Plugari,is,PLUGARI
98373,Oras Podu Iloaiei,is,ORAS PODU ILOAIEI
98435,Popesti,is,POPESTI
98505,Popricani,is,POPRICANI
98603,Prisacani,is,PRISACANI
98649,Probota,is,PROBOTA
98685,Raducaneni,is,RADUCANENI
98738,Romanesti,is,ROMANESTI
98774,Ruginoasa,is,RUGINOASA
98827,Schitu Duca,is,SCHITU DUCA
98916,Scanteia,is,SCANTEIA
98998,Scobinti,is,SCOBINTI
99058,Sinesti,is,SINESTI
99101,Siretel,is,SIRETEL
99165,Stolniceni-Prajescu,is,STOLNICENI-PRAJESCU
99209,Strunga,is,STRUNGA
99290,Scheia,is,SCHEIA
99370,Sipote,is,SIPOTE
99441,Tansa,is,TANSA
99478,Tatarusi,is,TATARUSI
99539,Todiresti,is,TODIRESTI
99600,Trifesti,is,TRIFESTI
99673,Tibana,is,TIBANA
99780,Tibanesti,is,TIBANESTI
99879,Tiganasi,is,TIGANASI
99922,Tutora,is,TUTORA
99968,Valea Seaca,is,VALEA SEACA
100004,Victoria,is,VICTORIA
100086,Vanatori,is,VANATORI
100148,Vladeni,is,VLADENI
100219,Voinesti,is,VOINESTI
100273,Bals,is,BALS
100282,Costesti,is,COSTESTI
100308,Draguseni,is,DRAGUSENI
100317,Fantanele,is,FANTANELE
100326,Harmanesti,is,HARMANESTI
100335,Rachiteni,is,RACHITENI
100344,Roscani,is,ROSCANI
100353,Valea Lupului,is,VALEA LUPULUI
100362,Ciohorani,is,CIOHORANI
100521,Municipiul Giurgiu,gr,MUNICIPIUL GIURGIU
100549,Slobozia,gr,SLOBOZIA
100576,Oras Buftea,if,ORAS BUFTEA
100610,Municipiul Oltenita,cl,MUNICIPIUL OLTENITA
100638,Mitreni,cl,MITRENI
100683,Municipiul Urziceni,il,MUNICIPIUL URZICENI
100709,Ciocarlia,il,CIOCARLIA
100736,Manasia,il,MANASIA
100754,Adancata,il,ADANCATA
100781,Adunatii-Copaceni,gr,ADUNATII-COPACENI
100834,Afumati,if,AFUMATI
100852,Alexeni,il,ALEXENI
100870,Armasesti,il,ARMASESTI
100923,Axintele,il,AXINTELE
100969,Balotesti,if,BALOTESTI
101001,Baneasa,gr,BANEASA
101056,Barcanesti,il,BARCANESTI
101083,Belciugatele,cl,BELCIUGATELE
101145,Berceni,if,BERCENI
101163,Bolintin-Deal,gr,BOLINTIN-DEAL
101190,Oras Bolintin-Vale,gr,ORAS BOLINTIN-VALE
101243,Brazii,il,BRAZII
101298,Branesti,if,BRANESTI
101341,Brezoaele,db,BREZOAELE
101378,Bucsani,gr,BUCSANI
101458,Oras Budesti,cl,ORAS BUDESTI
101519,Bulbucata,gr,BULBUCATA
101564,Butimanu,db,BUTIMANU
101617,Buturugeni,gr,BUTURUGENI
101662,Calugareni,gr,CALUGARENI
101724,Cascioarele,cl,CASCIOARELE
101742,Cernica,if,CERNICA
101804,Chirnogi,cl,CHIRNOGI
101822,Chiselet,cl,CHISELET
101840,Ciocanesti,db,CIOCANESTI
101902,Ciolpani,if,CIOLPANI
101957,Ciorogarla,if,CIOROGARLA
101984,Clejani,gr,CLEJANI
102035,Clinceni,if,CLINCENI
102071,Colibasi,gr,COLIBASI
102106,Comana,gr,COMANA
102160,Corbeanca,if,CORBEANCA
102213,Cornetu,if,CORNETU
102240,Cosereni,il,COSERENI
102286,Crevedia,db,CREVEDIA
102348,Crevedia Mare,gr,CREVEDIA MARE
102419,Curcani,cl,CURCANI
102446,Daia,gr,DAIA
102473,Dascalu,if,DASCALU
102525,Darasti-Ilfov,if,DARASTI-ILFOV
102543,1 Decembrie,if,1 DECEMBRIE
102570,Domnesti,if,DOMNESTI
102605,Dragomiresti-Vale,if,DRAGOMIRESTI-VALE
102641,Dragoesti,il,DRAGOESTI
102703,Dridu,il,DRIDU
102749,Oras Fierbinti-Targ,il,ORAS FIERBINTI-TARG
102794,Floresti-Stoenesti,gr,FLORESTI-STOENESTI
102838,Frasinet,cl,FRASINET
102909,Fratesti,gr,FRATESTI
102945,Frumusani,cl,FRUMUSANI
103014,Fundeni,cl,FUNDENI
103032,Oras Fundulea,cl,ORAS FUNDULEA
103087,Gaiseni,gr,GAISENI
103130,Ganeasa,if,GANEASA
103194,Gaujani,gr,GAUJANI
103238,Ghimpati,gr,GHIMPATI
103283,Garbovi,il,GARBOVI
103309,Gogosari,gr,GOGOSARI
103354,Gostinu,gr,GOSTINU
103372,Gostinari,gr,GOSTINARI
103407,Gradinari,gr,GRADINARI
103443,Gradistea,if,GRADISTEA
103470,Greaca,gr,GREACA
103513,Gruiu,if,GRUIU
103568,Gurbanesti,cl,GURBANESTI
103639,Hotarele,gr,HOTARELE
103693,Iepuresti,gr,IEPURESTI
103764,Ileana,cl,ILEANA
103862,Ion Roata,il,ION ROATA
103899,Izvoarele,gr,IZVOARELE
103960,Jilavele,il,JILAVELE
103997,Joita,gr,JOITA
104047,Letca Noua,gr,LETCA NOUA
104083,Luica,cl,LUICA
104118,Mihai Bravu,gr,MIHAI BRAVU
104136,Oras Mihailesti,gr,ORAS MIHAILESTI
104181,Manastirea,cl,MANASTIREA
104225,Marsa,gr,MARSA
104243,Moara Vlasiei,if,MOARA VLASIEI
104270,Movilita,il,MOVILITA
104323,Nana,cl,NANA
104341,Nicolae Balcescu,cl,NICOLAE BALCESCU
104387,Niculesti,db,NICULESTI
104421,Nuci,if,NUCI
104485,Ogrezeni,gr,OGREZENI
104519,Oinacu,gr,OINACU
104546,Peris,if,PERIS
104582,Petrachioaia,if,PETRACHIOAIA
104635,Plataresti,cl,PLATARESTI
104680,Prundu,gr,PRUNDU
104715,Putineiu,gr,PUTINEIU
104751,Radovanu,cl,RADOVANU
104788,Rasuceni,gr,RASUCENI
104831,Roata De Jos,gr,ROATA DE JOS
104886,Sarulesti,cl,SARULESTI
104975,Schitu,gr,SCHITU
105026,Sinesti,il,SINESTI
105106,Singureni,gr,SINGURENI
105142,Slobozia Moara,db,SLOBOZIA MOARA
105160,Snagov,if,SNAGOV
105222,Sohatu,cl,SOHATU
105259,Spantov,cl,SPANTOV
105295,Stanesti,gr,STANESTI
105348,Stoenesti,gr,STOENESTI
105384,Soldanu,cl,SOLDANU
105419,Stefanestii De Jos,if,STEFANESTII DE JOS
105455,Tamadau Mare,cl,TAMADAU MARE
105534,Tartasesti,db,TARTASESTI
105570,Tunari,if,TUNARI
105605,Ulmeni,cl,ULMENI
105623,Ulmi,gr,ULMI
105712,Valea Argovei,cl,VALEA ARGOVEI
105776,Valea Dragului,gr,VALEA DRAGULUI
105794,Valea Macrisului,il,VALEA MACRISULUI
105829,Vasilati,cl,VASILATI
105874,Varasti,gr,VARASTI
105909,Vedea,gr,VEDEA
105936,Vidra,if,VIDRA
105972,Vanatorii Mici,gr,VANATORII MICI
106318,Municipiul Baia Mare,mm,MUNICIPIUL BAIA MARE
106363,Grosi,mm,GROSI
106407,Recea,mm,RECEA
106461,Oras Tautii-Magheraus,mm,ORAS TAUTII-MAGHERAUS
106559,Municipiul Sighetu Marmatiei,mm,MUNICIPIUL SIGHETU MARMATIEI
106620,Sarasau,mm,SARASAU
106648,Vadu Izei,mm,VADU IZEI
106684,Oras Baia Sprie,mm,ORAS BAIA SPRIE
106746,Oras Borsa,mm,ORAS BORSA
106782,Oras Cavnic,mm,ORAS CAVNIC
106817,Oras Targu Lapus,mm,ORAS TARGU LAPUS
106979,Oras Viseu De Sus,mm,ORAS VISEU DE SUS
