Siruta,Localitate,Categorie
27329,BALC,Femei_35-44
27383,BATAR,Femei_35-44
27436,BIHARIA,Barbati_25-34
27506,BOIANU MARE,Barbati_25-34
27560,BOROD,Barbati_18-24
27631,BORS,Femei_35-44
27686,BRATCA,Femei_35-44
27757,BRUSTURI,Femei_35-44
27846,BUDUREASA,Femei_35-44
27908,BUDUSLAU,Femei_35-44
27935,BULZ,Barbati_18-24
27971,BUNTESTI,Barbati_18-24
28077,CABESTI,Femei_35-44
28139,CAPALNA,Femei_35-44
28193,CARPINET,Barbati_18-24
28246,CEFA,Femei_35-44
28335,CEICA,Femei_35-44
28415,CETARIU,Femei_35-44
28497,CHERECHIU,Barbati_25-34
28530,CHISLAZ,Femei_35-44
28610,SANIOB,Femei_35-44
28665,CIUMEGHIU,Femei_35-44
28709,CAMPANI,Barbati_18-24
28763,COCIUBA MARE,Femei_35-44
28816,COPACEL,Barbati_18-24
28889,CRISTIORU DE JOS,Femei_35-44
28941,CURATELE,Barbati_18-24
29001,CURTUISENI,Femei_35-44
29038,DERNA,Femei_35-44
29092,DIOSIG,Barbati_25-34
29154,DOBRESTI,Barbati_18-24
29243,DRAGANESTI,Femei_35-44
29341,DRAGESTI,Barbati_18-24
29403,FINIS,Femei_35-44
29467,GIRISU DE CRIS,Femei_35-44
29519,HIDISELU DE SUS,Barbati_18-24
29573,HOLOD,Barbati_18-24
29662,HUSASAU DE TINCA,Femei_35-44
29724,INEU,Femei_35-44
29760,LAZURI DE BEIUS,Barbati_18-24
29813,LAZARENI,Barbati_18-24
29902,LUGASU DE JOS,Femei_35-44
29948,LUNCA,Femei_35-44
30014,MADARAS,Femei_35-44
30069,MAGESTI,Femei_35-44
30149,NOJORID,Femei_35-44
30229,OLCEA,Barbati_18-24
30274,OSORHEI,Femei_35-44
30336,PIETROASA,Femei_35-44
30416,POCOLA,Femei_35-44
30470,POMEZEU,Femei_35-44
30568,POPESTI,Femei_35-44
30648,RABAGANI,Barbati_18-24
30719,REMETEA,Femei_35-44
30773,RIENI,Femei_35-44
30844,ROSIA,Femei_35-44
30871,SACADAT,Femei_35-44
30915,ORAS SACUENI,Femei_35-44
30988,SALACEA,Femei_35-44
31011,SALARD,Femei_35-44
31057,SAMBATA,Femei_35-44
31128,SARBI,Barbati_18-24
31208,SPINUS,Femei_35-44
31262,SUPLACU DE BARCAU,Femei_35-44
31333,SIMIAN,Femei_35-44
31379,SINTEU,Barbati_25-34
31422,SOIMI,Femei_35-44
31510,SUNCUIUS,Femei_35-44
31565,TARCEA,Femei_35-44
31609,TARCAIA,Femei_35-44
31654,TAUTEU,Femei_35-44
31716,TILEAGD,Femei_35-44
31789,TINCA,Femei_35-44
31841,TULCA,Femei_35-44
31878,TETCHEA,Femei_35-44
31921,UILEACU DE BEIUS,Femei_35-44
31976,VADU CRISULUI,Femei_35-44
32027,ORAS VALEA LUI MIHAI,Femei_35-44
32045,VIISOARA,Femei_35-44
32090,VARCIOROG,Femei_35-44
32153,TAMASEU,Femei_35-44
32161,PALEU,Femei_35-44
32179,SANNICOLAU ROMAN,Femei_35-44
32187,ROSIORI,Femei_35-44
32195,GEPIU,Femei_35-44
32201,TOBOLIU,Barbati_18-24
32394,MUNICIPIUL BISTRITA,Femei_35-44
32483,ORAS BECLEAN,Femei_35-44
32544,ORAS NASAUD,Femei_35-44
32599,ORAS SANGEORZ-BAI,Barbati_18-24
32633,BISTRITA BARGAULUI,Barbati_18-24
32660,BRANISTEA,Femei_25-34
32704,BUDACU DE JOS,Femei_35-44
32768,BUDESTI,Femei_35-44
32811,CAIANU MIC,Barbati_18-24
32884,CETATE,Barbati_18-24
32955,CICEU-GIURGESTI,Barbati_18-24
33015,CHIOCHIS,Femei_35-44
33122,CHIUZA,Barbati_18-24
33177,COSBUC,Barbati_18-24
33202,DUMITRA,Barbati_18-24
33248,FELDRU,Femei_35-44
33275,GALATII BISTRITEI,Femei_25-34
33337,ILVA MARE,Femei_25-34
33364,ILVA MICA,Barbati_18-24
33382,JOSENII BARGAULUI,Barbati_18-24
33435,LECHINTA,Femei_35-44
33514,LESU,Barbati_18-24
33541,LIVEZILE,Barbati_18-24
33603,LUNCA ILVEI,Barbati_18-24
33621,MAIERU,Barbati_18-24
33658,MATEI,Femei_35-44
33729,MAGURA ILVEI,Barbati_18-24
33765,MARISELU,Femei_35-44
33845,MICESTII DE CAMPIE,Femei_18-24
33881,MILAS,Femei_25-34
33952,MONOR,Barbati_18-24
33989,NIMIGEA,Femei_35-44
34075,NUSENI,Femei_35-44
34155,PARVA,Barbati_18-24
34173,PETRU RARES,Femei_35-44
34235,PRUNDU BARGAULUI,Barbati_18-24
34262,REBRA,Femei_25-34
34280,REBRISOARA,Barbati_18-24
34333,RODNA,Femei_35-44
34360,ROMULI,Barbati_18-24
34397,SALVA,Barbati_18-24
34422,SILIVASU DE CAMPIE,Barbati_18-24
34477,SANMIHAIU DE CAMPIE,Femei_35-44
34547,SPERMEZEU,Barbati_18-24
34618,SANT,Barbati_18-24
34645,SIEU,Femei_35-44
34690,SIEU-MAGHERUS,Barbati_18-24
34770,SIEU-ODORHEI,Femei_35-44
34850,SIEUT,Femei_35-44
34903,SINTEREAG,Femei_25-34
34985,TEACA,Femei_35-44
35054,TELCIU,Barbati_18-24
35090,TIHA BARGAULUI,Barbati_18-24
35152,TARLISUA,Barbati_18-24
35269,URIU,Femei_25-34
35312,URMENIS,Femei_35-44
35429,ZAGRA,Femei_35-44
35731,MUNICIPIUL BOTOSANI,Barbati_18-24
35759,CURTESTI,Barbati_18-24
35839,RACHITI,Barbati_18-24
35884,STAUCENI,Barbati_18-24
35946,ORAS DARABANI,Barbati_18-24
36006,MUNICIPIUL DOROHOI,Barbati_18-24
36060,ORAS SAVENI,Barbati_18-24
36131,ALBESTI,Femei_35-44
36202,AVRAMENI,Barbati_18-24
36300,BALUSENI,Barbati_18-24
36373,BRAESTI,Barbati_18-24
36426,BROSCAUTI,Barbati_18-24
36453,ORAS BUCECEA,Barbati_18-24
36499,CALARASI,Barbati_18-24
36532,CONCESTI,Barbati_18-24
36569,COPALAU,Barbati_18-24
36649,CORDARENI,Barbati_18-24
36676,CORLATENI,Barbati_18-24
36756,CORNI,Barbati_18-24
36809,COTUSCA,Barbati_18-24
36907,CRISTESTI,Barbati_18-24
36952,CRISTINESTI,Barbati_18-24
37011,DERSCA,Barbati_18-24
37057,DANGENI,Barbati_18-24
37100,DOBARCENI,Barbati_18-24
37173,DRAGUSENI,Barbati_18-24
37217,DURNESTI,Barbati_18-24
37280,ORAS FLAMANZI,Barbati_18-24
37324,FRUMUSICA,Barbati_18-24
37397,GEORGE ENESCU,Barbati_18-24
37459,GORBANESTI,Barbati_18-24
37547,HAVARNA,Barbati_18-24
37618,HANESTI,Barbati_18-24
37672,HILISEU-HORIA,Barbati_18-24
37734,HLIPICENI,Barbati_18-24
37770,HUDESTI,Barbati_18-24
37823,IBANESTI,Barbati_18-24
37850,LEORDA,Barbati_18-24
37912,LUNCA,Barbati_18-24
37958,MANOLEASA,Barbati_18-24
38063,MIHAI EMINESCU,Barbati_18-24
38161,MIHAILENI,Barbati_18-24
38241,MIHALASENI,Barbati_18-24
38321,MILEANCA,Barbati_18-24
38376,MITOC,Barbati_18-24
38456,NICSENI,Barbati_18-24
38492,PALTINIS,Barbati_18-24
38544,POMARLA,Barbati_18-24
38580,PRAJENI,Barbati_18-24
38633,RADAUTI-PRUT,Barbati_18-24
38679,RAUSENI,Barbati_18-24
38731,RIPICENI,Barbati_18-24
38811,ROMA,Barbati_18-24
38848,ROMANESTI,Barbati_18-24
38893,SANTA MARE,Barbati_18-24
38982,SUHARAU,Barbati_18-24
39051,SULITA,Barbati_18-24
39122,SENDRICENI,Barbati_18-24
39168,ORAS STEFANESTI,Barbati_18-24
39220,STIUBIENI,Barbati_18-24
39266,TODIRENI,Barbati_18-24
39328,TRUSESTI,Barbati_18-24
39391,TUDORA,Barbati_18-24
39417,UNGURENI,Barbati_18-24
39532,UNTENI,Barbati_18-24
39612,VACULESTI,Barbati_18-24
39658,VIISOARA,Barbati_18-24
39694,VARFU CAMPULUI,Barbati_18-24
39738,VLADENI,Barbati_18-24
39792,VLASINESTI,Barbati_18-24
39836,VORNICENI,Barbati_18-24
39872,VORONA,Barbati_18-24
39942,LOZNA,Barbati_18-24
39959,DIMACHENI,Barbati_18-24
39967,CANDESTI,Barbati_18-24
39975,COSULA,Barbati_18-24
39983,BLANDESTI,Barbati_18-24
40035,ADASENI,Barbati_18-24
40198,MUNICIPIUL BRASOV,Femei_35-44
40214,ORAS GHIMBAV,Femei_35-44
40241,MUNICIPIUL CODLEA,Femei_35-44
40278,MUNICIPIUL FAGARAS,Femei_35-44
40303,ORAS PREDEAL,Barbati_18-24
40367,ORAS RASNOV,Barbati_18-24
40394,ORAS RUPEA,Femei_35-44
40438,MUNICIPIUL SACELE,Femei_35-44
40465,ORAS VICTORIA,Barbati_18-24
40492,ORAS ZARNESTI,Barbati_18-24
40526,APATA,Barbati_25-34
40544,BECLEAN,Barbati_18-24
40606,BOD,Femei_35-44
40633,BRAN,Barbati_18-24
40688,BUDILA,Femei_35-44
40704,BUNESTI,Femei_35-44
40768,CATA,Femei_35-44
40820,CINCU,Femei_35-44
40857,COMANA,Barbati_18-24
40900,CRISTIAN,Femei_35-44
40928,DUMBRAVITA,Barbati_18-24
40955,FELDIOARA,Femei_35-44
40991,FUNDATA,Barbati_18-24
41033,HALCHIU,Femei_35-44
41088,HARMAN,Femei_35-44
41113,HARSENI,Barbati_18-24
41177,HOGHIZ,Femei_35-44
41248,HOMOROD,Femei_35-44
